languagekey,en_value (current),hi_translated,hi_transliterated,hi_value(curated),ta_translated,ta_transliterated,ta_value (curated)
en.contentstripmultiple.featuredCourses,Featured courses,,,,,,
en.contentstripmultiple.standaloneAssessment,Standalone Assessment,,,,,,
en.contentstripmultiple.recentlyAdded,Recently added,,,,,,
en.contentstripmultiple.exploreAll,Explore all,,,,,,
en.contentstripmultiple.seeall,See all,,,,,,
en.contentstripmultiple.contentNotAvailable,Content not available,,,,,,
en.contentstripmultiple.tryDifferentKeywords,Please try different keywords or change the search query.,,,,,,
en.contentstripmultiple.info,info,,,,,,
en.contentstripmultiple.showAll,Show all,,,,,,
en.cardcontentv2.viewDetails,View details,,,,,,
en.cardcontentv2.mostEnrolled,Most enrolled,,,,,,
en.cardcontentv2.mostTrending,Most trending,,,,,,
en.cardcontentv2.by,By,,,,,,
en.cardcontentv2.askedBy,Asked by,,,,,,
en.cardcontentv2.reason,Reason,,,,,,
en.cardcontentv2.newlyAdded,Newly Added,,,,,,
en.cardcontentv2.hoursAgo,hours ago,,,,,,
en.cardcontentv2.noviews,No views,,,,,,
en.cardcontentv2.resume,Resume,,,,,,
en.allproviderscomponent.popularProviders,Popular providers,,,,,,
en.allproviderscomponent.noProvidersFound,No providers found!,,,,,,
en.allproviderscomponent.allProviders,All providers,,,,,,
en.allproviderscomponent.sortBy,Sort by,,,,,,
en.allproviderscomponent.ascending,Ascending,,,,,,
en.allproviderscomponent.descending,Descending,,,,,,
en.allproviderscomponent.search,Search,,,,,,
en.allcompetencies.popularCompetencies,Popular competencies,,,,,,
en.allcompetencies.nocompetenciesfound,No competencies found!,,,,,,
en.allcompetencies.allCompetencies,All competencies,,,,,,
en.allcompetencies.sortBy,Sort by,,,,,,
en.allcompetencies.ascending,Ascending,,,,,,
en.allcompetencies.descending,Descending,,,,,,
en.allcompetencies.search,Search,,,,,,
en.competencydetails.competencyType,Competency type:,,,,,,
en.competencydetails.competencyArea:,Competency area:,,,,,,
en.competencydetails.allCbps,All associated CBPs,,,,,,
en.competencydetails.cbpsFor,CBPs for,,,,,,
en.competencydetails.noCbps,No CBPs found!,,,,,,
en.competencydetails.filterBy,Filter by,,,,,,
en.competencydetails.audio,Audio,,,,,,
en.competencydetails.pdf,PDF,,,,,,
en.competencydetails.webpage,Webpage,,,,,,
en.competencydetails.course,Course,,,,,,
en.competencycard.quickExplore,Quick explore,,,,,,
en.competencycard.noCbps,No CBPs found!,,,,,,
en.competencycard.seeAll,See all,,,,,,
en.curatedpage.latestCollections,Latest collections,,,,,,
en.curatedpage.noCuratedCollection,No curated collections found!,,,,,,
en.curatedpage.curatedCollections,Curated collections,,,,,,
en.curatedpage.search,Search,,,,,,
en.apptocbanner.pleaseChooseBatch,Please choose a batch to start course,,,,,,
en.apptocbanner.requestToEnroll,Request to enroll,,,,,,
en.apptocbanner.lastEnrollmentDate,Last enrollment date,,,,,,
en.apptocbanner.yourEnrollmentRequest,Your enrollment request is,,,,,,
en.apptocbanner.withDrawYourRequest,Withdraw your request,,,,,,
en.apptocbanner.noBatches,No batches,,,,,,
en.apptocbanner.thisBatchStarts,This batch starts in,,,,,,
en.apptocbanner.dayS,DAYS,,,,,,
en.apptocbanner.hours,HOURS,,,,,,
en.apptocbanner.minutes,MINUTES,,,,,,
en.apptocbanner.batchDuration,Batch duration,,,,,,
en.apptocbanner.days,Days,,,,,,
en.apptocbanner.kindlyCheckLocationDetails,Kindly check the location details and plan in advance.,,,,,,
en.apptocbanner.batchLocation,Batch location,,,,,,
en.apptocbanner.view,View,,,,,,
en.apptocsinglepage.overview,Overview,,,,,,
en.apptocsinglepage.content,Content,,,,,,
en.apptocsinglepage.sessions,Sessions,,,,,,
en.apptocsinglepage.discussion,Discussion,,,,,,
en.apptocsinglepage.summary,Summary,,,,,,
en.apptocsinglepage.description,Description,,,,,,
en.apptocsinglepage.authorsAndCurators,Authors and curators,,,,,,
en.apptocsinglepage.author,Author,,,,,,
en.apptocsinglepage.curator,Curator,,,,,,
en.apptocsinglepage.programDirectorFacilitators,Program director & facilitators,,,,,,
en.apptocsinglepage.facilitator,Facilitator,,,,,,
en.apptocsinglepage.competencies,Competencies,,,,,,
en.apptocsinglepage.competency,Competency,,,,,,
en.apptocsinglepage.type,Type,,,,,,
en.apptocsinglepage.ratingsReviews,Ratings and reviews,,,,,,
en.apptocsinglepage.topReviews,Top reviews,,,,,,
en.apptocsinglepage.latestReviews,Latest reviews,,,,,,
en.apptocsinglepage.noReviewsFound,No reviews found!,,,,,,
en.apptocsinglepage.search,Search,,,,,,
en.apptocsinglepage.learningObjective,Learning objective,,,,,,
en.apptocsinglepage.registrationInstructions,Registration instructions,,,,,,
en.apptocsinglepage.studyMaterials,Study materials,,,,,,
en.apptocsinglepage.Skills,Skills,,,,,,
en.apptocsinglepage.preRequisites,Pre-Requisites,,,,,,
en.apptocsinglepage.Topics,Topics,,,,,,
en.ratingsummary.ratings,ratings,,,,,,
en.ratingsummary.outof5,out of 5,,,,,,
en.ratingsummary.star,star,,,,,,
en.cardratingcommet.viewFeply,View reply,,,,,,
en.ratingdialog.rateReview,Rate and review,,,,,,
en.ratingdialog.yourReviewFeedbackValuable,Your review and feedback is valuable in creating a robust learning experience,,,,,,
en.ratingdialog.rateThis,Rate this,,,,,,
en.ratingdialog.giveReview,Give a review,,,,,,
en.ratingdialog.characters,characters,,,,,,
en.ratingdialog.addReview,Add a review for this,,,,,,
en.ratingdialog.exceededCharacters,You have exceeded 200 characters.,,,,,,
en.ratingdialog.recommendCourse,Recommend this course to your friends,,,,,,
en.ratingdialog.submit,Submit,,,,,,
en.ratingdialog.update,Update,,,,,,
en.ratingdialog.thankYouForFeedback,Thank you for the feedback!!!,,,,,,
en.ratingdialog.youCanUpdateYourFeedback,You can update your feedback at anytime.,,,,,,
en.ratingdialog.optional,(optional),,,,,,
en.apptocontents.previewContentUnavailable,The preview for this type of content is unavailable. Please click on Start button above to view.,,,,,,
en.apptoccontentcard.viewCertificate,View certificate,,,,,,
en.apptoccontentcard.resource,Resource,,,,,,
en.apptoccontentcard.module,Module,,,,,,
en.apptoccontentcard.course,Course,,,,,,
en.apptoccontentcard.optional,optional,,,,,,
en.apptoccontentcard.viewDetails,View Details,,,,,,
en.apptoccontentcard.completed,Completed,,,,,,
en.apptoccontentcard.inProgress,In progress,,,,,,
en.apptoccontentcard.notStarted,Not started,,,,,,
en.apptocsessions.noSessionsAvailable,No sessions available in this batch,,,,,,
en.apptocsessionscards.optional,optional,,,,,,
en.apptocsessionscards.sessionHandouts,Session Handouts,,,,,,
en.apptocsessionscards.download,Download,,,,,,
en.attendancecard.attendanceStatus,Attendance status,,,,,,
en.attendancecard.sessionAttendance,Session attendance,,,,,,
en.attendancecard.unmarked,Unmarked,,,,,,
en.attendancecard.marked,Marked,,,,,,
en.attendancecard.afterBatchStarts,"After the batch starts, you will be able to mark the attendace through mobile.",,,,,,
en.attendancehelper.title,Follow these 4 simple steps to successfully mark your attendance.,,,,,,
en.attendancehelper.step1,STEP 1,,,,,,
en.attendancehelper.title1,Download iGOT app,,,,,,
en.attendancehelper.description1,Download the app from the apple app store or google playstore,,,,,,
en.attendancehelper.STEP2,STEP 2,,,,,,
en.attendancehelper.title2,Login to the app,,,,,,
en.attendancehelper.description2,Login using your registered email/phone number,,,,,,
en.attendancehelper.STEP3,STEP 3,,,,,,
en.attendancehelper.title3,Open the blended program,,,,,,
en.attendancehelper.description3,For example: Search for `Creating and Running and Online Course`,,,,,,
en.attendancehelper.STEP4,STEP 4,,,,,,
en.attendancehelper.title4,Tap the button “Scan to mark attendance” ,,,,,,
en.attendancehelper.description4,Follow the steps as it guides.,,,,,,
en.attendancehelper.helpText,"If you`re facing the problem in marking the attendance, please contact your program coordinator",,,,,,
en.batchEnrollmsg.batchEnrollL1Msg,Your enrollment request is being reviewed. You will be notified when it is approved.,,,,,,
en.batchEnrollmsg.batchEnrollL2Msg,We are now reviewing your request. You will be notified when it is approved.,,,,,,
en.batchEnrollmsg.batchEnrollDelayMsg,Are you still waiting for the approval?,,,,,,
en.batchEnrollmsg.batchEnrollApprovedMsg,Your enrollment is now approved.,,,,,,
en.batchEnrollmsg.batchEnrollRejectedMsg,Your enrollment request for the selected batch has been rejected.,,,,,,
en.batchEnrollmsg.batchEnrollRemoveMsg,Your enrollment request for the selected batch has been removed.,,,,,,
en.batchEnrollmsg.batchEnrollSupportMsg,"For help, write to us at ",,,,,,
en.batchEnrollmsg.batchEnrollWithdrawMsg,Your request to withdraw from this blended program has been successfully processed.,,,,,,
en.batchEnrollmsg.batchListExpiredMsg,You can't enroll into this blended program.,,,,,,
en.apptochome.resume,Resume,,,,,,
en.apptochome.start,Start,,,,,,
en.apptochome.startAgain,Start again,,,,,,
en.apptochome.takeAssessment,Take Assessment,,,,,,
en.apptochome.enroll,Enroll,,,,,,
en.apptochome.youAreNotInvited,You are not invited for this Program.,,,,,,
en.apptochome.noActiveBatches,No Active Batches!!.,,,,,,
en.apptochome.batchWillStart,Batch will start,,,,,,
en.apptochome.takeTest,Take test,,,,,,
en.apptochome.requestUnderReview,Request under review,,,,,,
en.apptochome.register,Register,,,,,,
en.apptochome.contentExpiredDeleted,The content is expired or deleted.,,,,,,
en.apptochome.contentUnpublished,The content has been unpublished.,,,,,,
en.apptochome.contentDraft,The content is in draft.,,,,,,
en.apptochome.contentReview,The content is in review.,,,,,,
en.apptochome.certificationTakesTime,"Kindly be patient. The certificate generation normally takes up to 24 hours, however, it might take longer sometimes.",,,,,,
en.apptochome.issuePersistsMailus,"If the issue persists, please mail us at",,,,,,
en.apptochome.congratulations,Congratulations!,,,,,,
en.apptochome.certificateCompletionReady,Your certificate of completion is ready for you to download.,,,,,,
en.apptochome.viewedInIntranet,This can be viewed only in the Intranet.,,,,,,
en.apptochome.notAvailableOnline,This is instructor-led classroom course and is not available online.,,,,,,
en.apptochome.youtubeContentBlocked,Access to this YouTube content is blocked.,,,,,,
en.apptochome.applyForPhysicalTraining,Apply for physical training,,,,,,
en.apptochome.yourProgress,Your progress,,,,,,
en.apptochome.rateThis,Rate this,,,,,,
en.apptochome.course,course,,,,,,
en.apptochome.editRating,Edit rating,,,,,,
en.apptochome.atGlance,At a glance,,,,,,
en.apptochome.courses1,Courses,,,,,,
en.apptochome.course1,Course,,,,,,
en.apptochome.module,Module,,,,,,
en.apptochome.modules,Modules,,,,,,
en.apptochome.video,Video,,,,,,
en.apptochome.videos,Videos,,,,,,
en.apptochome.session,Session,,,,,,
en.apptochome.sessions,Sessions,,,,,,
en.apptochome.pdf,PDF,,,,,,
en.apptochome.pdfs,PDFs,,,,,,
en.apptochome.audio,Audio,,,,,,
en.apptochome.audios,Audios,,,,,,
en.apptochome.webPage,Web Page,,,,,,
en.apptochome.webPages,Web Pages,,,,,,
en.apptochome.survey,Survey,,,,,,
en.apptochome.surveys,Surveys,,,,,,
en.apptochome.interactiveContent,Interactive Content,,,,,,
en.apptochome.interactiveContents,Interactive Contents,,,,,,
en.apptochome.assessment,Assessment,,,,,,
en.apptochome.assessments,Assessments,,,,,,
en.apptochome.practiceTest,Practice test,,,,,,
en.apptochome.practiceTests,Practice Tests,,,,,,
en.apptochome.finalTest,Final test,,,,,,
en.apptochome.finalTests,Final Tests,,,,,,
en.apptochome.otherItem,Other Item,,,,,,
en.apptochome.otherItems,Other Items,,,,,,
en.apptochome.to,to,,,,,,
en.apptochome.paidContent,Paid Content,,,,,,
en.apptochome.free,Free,,,,,,
en.apptochome.view,View,,,,,,
en.playerbrief.download,Download,,,,,,
en.playerbrief.interactiveVideo,Interactive Video,,,,,,
en.playerbrief.interactiveVideos,Interactive Videos,,,,,,
en.playerbrief.youtubeVideo,Youtube Video,,,,,,
en.playerbrief.youtubeVideos,Youtube Videos,,,,,,
en.playerbrief.podcast,Podcast,,,,,,
en.playerbrief.podcasts,Podcasts,,,,,,
en.playerbrief.webModule,Web Module,,,,,,
en.playerbrief.webModules,Web Modules,,,,,,
en.playerbrief.quiz,Quiz,,,,,,
en.playerbrief.quizzes,Quizzes,,,,,,
en.playerbrief.showMore,Show More,,,,,,
en.playerbrief.showLess,Show Less,,,,,,
en.playerbrief.authors,Authors,,,,,,
en.playerbrief.curatorcontact,Curator/Contact,,,,,,
en.apptoc.lastUpdatedOn,Last updated on,,,,,,
en.apptoc.expiryDate,Expiry date,,,,,,
en.apptoc.learningMode,Learning mode,,,,,,
en.apptoc.region,Region,,,,,,
en.apptoc.license,License,,,,,,
en.apptoc.locale,Locale,,,,,,
en.apptoc.hasTranslations,Has translations,,,,,,
en.apptoc.keywords,Keywords,,,,,,
en.apptoc.size,Size,,,,,,
en.apptoc.contentType,Content type,,,,,,
en.apptoc.complexityLevel,Complexity level,,,,,,
en.apptoc.duration,Duration,,,,,,
en.apptoc.cost,Cost,,,,,,
en.apptoc.viewCount,View count,,,,,,
en.apptoc.sourceName,Source name,,,,,,
en.apptoc.structure,Structure,,,,,,
en.apptoc.competencies,Competencies,,,,,,
en.apptoc.batchDate,Batch date,,,,,,
en.apptoc.batchDuration,Batch duration,,,,,,
en.apptoc.enrolled,Enrolled,,,,,,
en.apptoc.rejected,Rejected,,,,,,
en.apptoc.totalApplied,Total applied,,,,,,
en.certificatedialog.downloadCertificate,Download Certificate,,,,,,
en.certificatedialog.download,Download,,,,,,
en.certificatedialog.pdf,PDF,,,,,,
en.certificatedialog.png,PNG,,,,,,
en.certificatedialog.svg,SVG,,,,,,
en.coursecompletiondialog.congratulations,Congratulations!,,,,,,
en.coursecompletiondialog.yourCertificateAvailableShortly,Your certificate of completion will be available shortly.,,,,,,
en.coursecompletiondialog.wouldLoveHearExperience,"We would love to hear about your experience, so please take a moment to",,,,,,
en.coursecompletiondialog.rateTheCourse,rate the course,,,,,,
en.coursecompletiondialog.shareYourThoughts,and share your thoughts with us.,,,,,,
en.coursecompletiondialog.close,Close,,,,,,
en.viewercomponent.issueInContent,Looks like we are having some issues in our content.,,,,,,
en.viewercomponent.differentMimetype,Debug Message: This content is of a different mimeType,,,,,,
en.viewercomponent.possibleLink,Possible Link:,,,,,,
en.viewercomponent.reportToUs,Report to us,,,,,,
en.viewercomponent.weWillMakeItWork,and we will make it work,,,,,,
en.viewercomponent.notAuthorizedToPreview,Looks like you are not authorized to preview this content.,,,,,,
en.viewercomponent.ifGovtOfficial,"If you are a government official, register or sign in so you can track your learning progress and get certified.",,,,,,
en.viewertopbar.prev,PREV,,,,,,
en.viewertopbar.skip,SKIP,,,,,,
en.viewertopbar.next,NEXT,,,,,,
en.viewertopbar.finish,FINISH,,,,,,
en.viewertoc.structure,Structure,,,,,,
en.viewertoc.queue,Queue,,,,,,
en.viewertoc.resourceNotPartOfCollection,The Resource is not part of the collection,,,,,,
en.viewertoc.unsupportedType,Unsupported Collection Type,,,,,,
en.viewertoc.contents,Contents,,,,,,
en.viewertoc.details,Details,,,,,,
en.player.surveySubmitted,Survey is submitted,,,,,,
en.player.page,Page,,,,,,
en.player.of,of,,,,,,
en.network.tabNetworkHome,Network home,,,,,,
en.network.searchUser,Search User,,,,,,
en.network.tabYourConnections,Your connections,,,,,,
en.network.noConnectionRequests, No connection requests!,,,,,,
en.network.tabConnectionRequests,Connection Requests,,,,,,
en.network.tabConnectionRequest,Connection Request,,,,,,
en.network.tabUsersFromMDO,Users from MDO,,,,,,
en.network.tabFromYourMdo,From Your MDO,,,,,,
en.network.tabRecommendedConnections,Recommended Connections,,,,,,
en.network.btnSeeMore,See More,,,,,,
en.network.userSearch,User Search,,,,,,
en.network.showAll,Show All,,,,,,
en.event.labelTodayEvent,Today's Events,,,,,,
en.event.noEvent,No Event,,,,,,
en.event.labelAllEvents,All Events,,,,,,
en.event.all,All,,,,,,
en.event.typoWebinar,Webinar,,,,,,
en.event.btnViewRecording,View Recording,,,,,,
en.event.tabCuratedEvents,Curated Events,,,,,,
en.event.cardTitle,Karmayogi Bharat,,,,,,
en.event.eventDescription,Description,,,,,,
en.event.eventPresenters,Presenters,,,,,,
en.event.eventAgenda,Agenda,,,,,,
en.event.btnEventCompleted,Event is completed,,,,,,
en.event.eventType,Event Type,,,,,,
en.event.eventHostedBy,Hosted By,,,,,,
en.career.labelAllOpenings,All openings,,,,,,
en.career.tabRecent,Recent,,,,,,
en.career.tabMostViewed,Most Viewed,,,,,,
en.career.labelPersonalizedExpTxt,For a personalized learning experience,,,,,,
en.career.btnSelectInterest,Select your Interests,,,,,,
en.competencies.labelYourCompetencies,Your competencies,,,,,,
en.competencies.labelRecommendCompetencies,Recommended competencies,,,,,,
en.competencies.tabAllCompetencies,All competencies,,,,,,
en.competencies.acquiredByYou,Acquired By You,,,,,,
en.competencies.desired,Desired,,,,,,
en.competencies.fromFRAC,From FRAC,,,,,,
en.competencies.fromWAT,From WAT,,,,,,
en.competencies.cbpCourse,CBP course,,,,,,
en.competencies.selfAttestation,Self attestation,,,,,,
en.competencies.addCompetency,Add a competency,,,,,,
en.competencies.recommendedBasedOnPosition,Competencies will be recommended based on your position.,,,,,,
en.discuss.askQuestion,Ask a question or post an idea,,,,,,
en.discuss.sidepanelAlldiscussion,All discussions,,,,,,
en.discuss.sidepanelCategories,Categories,,,,,,
en.discuss.sidepanelTags,Tags,,,,,,
en.discuss.sidepanelMyDiscuss,My Discussions,,,,,,
en.discuss.startDiscuss,Start Discusion,,,,,,
en.discuss.startDiscussQues,Question is mandatory,,,,,,
en.discuss.descMandatory,Description is mandatory,,,,,,
en.discuss.btnSubmitPost,Submit post,,,,,,
en.discuss.comments,comments,,,,,,
en.discuss.yourAnswerHere,Your answer here,,,,,,
en.discuss.thisIsMandatory,This is mandatory,,,,,,
en.discuss.postReply,Post reply,,,,,,
en.discuss.recent,Recent,,,,,,
en.discuss.reply,Reply,,,,,,
en.discuss.lastReply,Last reply,,,,,,
en.discuss.replies,replies,,,,,,
en.discuss.cancel,Cancel,,,,,,
en.discuss.siscussions,Discussions,,,,,,
en.discuss.posts,Posts,,,,,,
en.discuss.recentPosts,Recent posts,,,,,,
en.discuss.bestPosts,Best posts,,,,,,
en.discuss.savedPosts,Saved posts,,,,,,
en.discuss.upVoted,Upvoted,,,,,,
en.discuss.downVoted,Downvoted,,,,,,
en.discuss.nodata,No Data,,,,,,
en.discuss.discard,Discard,,,,,,
en.discuss.labelAllDiscussionRecent,Recent,,,,,,
en.discuss.labelAllDiscussionPopular,Popular,,,,,,
en.discuss.btnStartDiscussion,Start discussion,,,,,,
en.discuss.placeholderAskQuesPostIdea,Ask a question or post an idea,,,,,,
en.discuss.labelCategoriesAll,All,,,,,,
en.discuss.labelCategoriesWatching,Watching,,,,,,
en.discuss.placeholderTagsSearch,Search by name,,,,,,
en.discuss.discussionVotes,Votes,,,,,,
en.discuss.discussionViews,Views,,,,,,
en.knowledgeall.search,Search,,,,,,
en.knowledgeall.noresultfound,No results found,,,,,,
en.knowledgeleftmenu.allKnowledgeResources,All Knowledge resources,,,,,,
en.knowledgeleftmenu.savedKnowledgeResource,Saved Knowledge resource,,,,,,
en.knowledgesaved.search,Search,,,,,,
en.knowledgesaved.noresultfound,No results found,,,,,,
en.settings.language,Language,,,,,,
en.settings.websiteLanguage,Website language,,,,,,
en.settings.enEnglish,EN - English,,,,,,
en.settings.contentLanguage,Content Language,,,,,,
en.settings.supportLanguages,Support for more languages coming soon,,,,,,
en.settings.appearance,Appearance,,,,,,
en.settings.chooseFontSize,Choose base font size,,,,,,
en.settings.baseFontSize,Base font size,,,,,,
en.settings.selectTheme,Select theme,,,,,,
en.settings.defaultLight,Default light,,,,,,
en.settings.supportThemes,Support for more themes coming soon,,,,,,
en.notificationSettings.notificationHeader,Notification Settings,,,,,,
en.notificationSettings.comingSoon,Feature coming soon.,,,,,,
en.passwordSettings.passwordHeader,Account Password Settings,,,,,,
en.passwordSettings.comingSoon,Feature coming soon.,,,,,,
en.privacySettings.privacyHeader,privacy Settings,,,,,,
en.privacySettings.comingSoon,Feature coming soon.,,,,,,
en.settingLeftMenu.generalSettings,General Settings,,,,,,
en.settingLeftMenu.notifications,Notifications,,,,,,
en.settingLeftMenu.accountAndPassword,Account and Password,,,,,,
en.settingLeftMenu.privacy,Privacy,,,,,,
en.settingLeftMenu.getStartedTour,'Get Started' tour,,,,,,
en.contact.headerForAnyTech,"For any technical issues please contact,",,,,,,
en.contact.email,Email,,,,,,
en.contact.helpDesk,Helpdesk,,,,,,
en.contact.call,Call,,,,,,
en.contact.videoConference,We are now available on Video Conference,,,,,,
en.contact.supportReqd,For any Support Required,,,,,,
en.contact.weekDays,Monday to Friday,,,,,,
en.contact.btnJoinNow,Join Now,,,,,,
en.faq.missionTitle,What is mission Karmayogi?,,,,,,
en.faq.missionDescription,"Mission Karmayogi - National Programme for Civil Services Capacity Building has been envisioned by the Government to address the changing needs and aspiration of the citizen. The Programme has been designed to enhance the civil services under a national Programme, anchored by an apex body headed by the  Prime Minister.",,,,,,
en.faq.missionHub,What are hubs?,,,,,,
en.faq.hubDescription,"iGOT Karmayogi platform enables officials to explore, acquire and certify their competencies that are critical to discharging their duties. The platform also helps them connect and collaborate across silos and become more efficient in the execution of their responsibilities. These are made possible, with a series of features organized into specific hubs.",,,,,,
en.faq.accountTitle,How can I reset my password?,,,,,,
en.faq.accountDescription,You can reset or change your password by clicking on the 'Forgot password' link. An email will be sent to you through which you will be able to reset or change your password. ,,,,,,
en.faq.panelDetails,How can I edit my details?,,,,,,
en.faq.panelHeader,'You can edit your profile details by the following steps: 1. Click on 'View profile' button in the profile dropdown.2. Click on the 'Edit profile' button 3. make the necessary changes and click on the 'Save details' button. Please note that few profile details will be updated only after it is approved by the admin.',,,,,,
en.faq.portalAccessQ,How can I know what are the various portals I have access to?,,,,,,
en.faq.portalAccessA,"In your profile dropdown menu, you can see the list of all other portals that you have access to.",,,,,,
en.faq.learnTitle,What is a learn hub?,,,,,,
